sample_id	tissue	cell_fraction	fraction
GSM3428736	tumor	Macrophages M1	0.0224577557064121
GSM3428736	tumor	T cells follicular helper	0.0828484084059876
GSM3428736	tumor	Mast cells activated	0
GSM3428736	tumor	B cells memory	0.0688855013690499
GSM3428736	tumor	NK cells activated	0.0730405462548269
GSM3428737	tumor	T cells CD4 memory resting	0
GSM3428737	tumor	Macrophages M2	0.178464119551281
GSM3428737	tumor	Plasma cells	0.0663127721642118
GSM3428737	tumor	Macrophages M0	0
GSM3428737	tumor	T cells CD8	0.146358771046087
GSM3428737	tumor	Macrophages M1	0.16435121790007
GSM3428737	tumor	T cells follicular helper	0.0542385795013385
GSM3428737	tumor	Mast cells activated	0.143477418959812
GSM3428737	tumor	B cells memory	0
GSM3428737	tumor	NK cells activated	0.0787308939049944
GSM3428738	tumor	T cells CD4 memory resting	0.141159782863654
GSM3428738	tumor	Macrophages M2	0.150158980315079
GSM3428738	tumor	Plasma cells	0.0745172137488386
GSM3428738	tumor	Macrophages M0	0.20049071306332
GSM3428738	tumor	T cells CD8	0.0731626940759859
GSM3428738	tumor	Macrophages M1	0.0243128881644855
GSM3428738	tumor	T cells follicular helper	0.0158658729950077
GSM3428738	tumor	Mast cells activated	0.142297848453243
GSM3428738	tumor	B cells memory	0
GSM3428738	tumor	NK cells activated	0
GSM3428739	tumor	T cells CD4 memory resting	0.091002866758856
GSM3428739	tumor	Macrophages M2	0.19040245050357
GSM3428739	tumor	Plasma cells	0.0533494469424931
GSM3428739	tumor	Macrophages M0	0.139457391928148
GSM3428739	tumor	T cells CD8	0.158204739272457
GSM3428739	tumor	Macrophages M1	0.0710126790079847
GSM3428739	tumor	T cells follicular helper	0.078351170713279
GSM3428739	tumor	Mast cells activated	0.0157648172807644
GSM3428739	tumor	B cells memory	0.00581590488406362
GSM3428739	tumor	NK cells activated	0.0696060297245588
GSM3428740	tumor	T cells CD4 memory resting	0.125801394174894
GSM3428740	tumor	Macrophages M2	0.0772567670996834
GSM3428740	tumor	Plasma cells	0.069137576735425
GSM3428740	tumor	Macrophages M0	0.093027044428844
GSM3428740	tumor	T cells CD8	0
GSM3428740	tumor	Macrophages M1	0.114319678263988
GSM3428740	tumor	T cells follicular helper	0.0478704736188611
GSM3428740	tumor	Mast cells activated	0
GSM3428740	tumor	B cells memory	0.0170960353797499
GSM3428740	tumor	NK cells activated	0.128916482966459
GSM3428741	tumor	T cells CD4 memory resting	0.152820805051712
GSM3428741	tumor	Macrophages M2	0.250807729112196
GSM3428741	tumor	Plasma cells	0.215641078543982
GSM3428741	tumor	Macrophages M0	0.0151240123835964
GSM3428741	tumor	T cells CD8	0.121714870865639
GSM3428741	tumor	Macrophages M1	0.0472007617853323
GSM3428741	tumor	T cells follicular helper	0.00348209764175738
GSM3428741	tumor	Mast cells activated	0.0151794553530171
GSM3428741	tumor	B cells memory	0
GSM3428741	tumor	NK cells activated	0.0572195813884257
GSM3428742	tumor	T cells CD4 memory resting	0.111697463799751
GSM3428742	tumor	Macrophages M2	0.369215326302193
GSM3428742	tumor	Plasma cells	0.0950710339266086
GSM3428742	tumor	Macrophages M0	0.19778479046222
GSM3428742	tumor	T cells CD8	0.117045100839458
GSM3428742	tumor	Macrophages M1	0.00760430972122351
GSM3428742	tumor	T cells follicular helper	0
GSM3428742	tumor	Mast cells activated	0.0356169850436822
GSM3428742	tumor	B cells memory	0.00909187448926281
GSM3428742	tumor	NK cells activated	0.00265540178022665
GSM3428743	tumor	T cells CD4 memory resting	0.139802570647684
GSM3428743	tumor	Macrophages M2	0.237246928080612
GSM3428743	tumor	Plasma cells	0.0670514950990234
GSM3428743	tumor	Macrophages M0	0
GSM3428743	tumor	T cells CD8	0.170198499595216
GSM3428743	tumor	Macrophages M1	0.122842071625909
GSM3428743	tumor	T cells follicular helper	0.00472106424111045
GSM3428743	tumor	Mast cells activated	0
GSM3428743	tumor	B cells memory	0
GSM3428743	tumor	NK cells activated	0.0353565293300493
GSM3428744	tumor	T cells CD4 memory resting	0.161132503776569
GSM3428744	tumor	Macrophages M2	0.255669076986924
GSM3428744	tumor	Plasma cells	0.0690724875190463
GSM3428744	tumor	Macrophages M0	0.117992993078071
GSM3428744	tumor	T cells CD8	0.117984401507447
GSM3428744	tumor	Macrophages M1	0.0497395751891272
GSM3428744	tumor	T cells follicular helper	0.0349233762642055
GSM3428744	tumor	Mast cells activated	0.0221146268661658
GSM3428744	tumor	B cells memory	0
GSM3428744	tumor	NK cells activated	0.0826868475192138
GSM3428745	tumor	T cells CD4 memory resting	0.376521647444464
GSM3428745	tumor	Macrophages M2	0.0832163964668169
