gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
STX4	0.44383490347490306	5.615539081355364	1.5517742309492295e-7	1.183166661263182e-6	0.04352043694999987	0.3114639382342801	0.7570471962097068	0.8821538278953156
STX5	0.06483065250965198	1.3070755181096647	0.19397843388296745	0.26633925848994455	0.1923752971500001	1.225777196151252	0.22736961710185405	0.4550530205922008
STX6	0.5984039150579149	6.544783268597677	2.0932366641615565e-9	2.677778500424502e-8	0.74596347865	4.488950620947012	5.8265251840322487e-5	0.0022552384755916994
STX7	0.2681907490347491	3.0731663604091817	0.0026847268295647603	0.006642341214900976	0.06486815549999962	0.5105435044756823	0.6124451131330482	0.7926296136353639
STX8	-0.2805668030888028	-3.526735267016375	6.200735792028795e-4	0.0018459951893003866	-0.2614721021500009	-2.3200543259790507	0.025463399134666418	0.11651352994875866
STXBP1	0.32607560617760545	2.1831584933216925	0.03120078911658545	0.05615212754637903	0.3068671653499997	1.2961549833003132	0.20226699867764894	0.4251535435534735
STXBP2	-0.023692617760617922	-0.3616425122761165	0.7183296443568644	0.7768631179126415	-0.16098065734999978	-1.152419473671717	0.2559123497166349	0.48710042120690894
STXBP3	0.2799564169884157	3.349792400876575	0.0011164857843463834	0.0030962411100059766	0.14347140330000033	1.1347267553383615	0.26316776583990403	0.49457351277023176
STXBP4	0.46788184555984486	4.505202547967343	1.6938376027216603e-5	7.650757759967666e-5	0.9243439616000002	4.459045630580188	6.397311481779829e-5	0.0024328796619432973
STXBP5	0.34253793436293295	3.333427891784442	0.0011776625659982998	0.0032415150953006475	0.6455388654499998	3.2893266759338253	0.002085367642106556	0.023050306056272313
STXBP5-AS1	-0.08034050193050177	-2.587696202268768	0.010997538683417801	0.022755584417424847	1.106287881749999	3.2080872144312944	0.0026138439254049617	0.026569601359501933
STXBP5L	-0.07220690347490323	-1.689190079597024	0.09408397111670709	0.14423910238224888	0.7660993818499997	1.9663553799869387	0.05614376983450313	0.1919700160627562
STXBP6	1.3647104942084916	8.296114787785807	3.4232133853144567e-13	1.4208911593580223e-11	1.2050354079499996	4.121489274296382	1.8145974754375045e-4	0.004643875162728474
STYK1	-0.08220889189189144	-2.7245466471014113	0.0075184594559011934	0.01634346442932134	-0.2993092329499995	-0.7142718340091094	0.47915983757807123	0.696101826209289
STYX	-0.25741371814671843	-3.2378313591522776	0.0016025066499106828	0.004236155930915917	-0.20428659350000086	-1.59578515318082	0.11831910884154578	0.30820208054486237
STYXL1	0.15645892277992218	1.6484202203121068	0.10218861975947248	0.15468019244504938	-0.05798841505000074	-0.4591797978309813	0.6485625711378693	0.8173473475468442
SUB1	0.5190402702702696	8.379613686500393	2.2302678288766587e-13	1.0023763653213627e-11	0.25061943100000217	2.3928437223138395	0.021446854193181073	0.10446337198035555
SUCLA2	0.04091948648648722	0.49689647597178366	0.6202775986199661	0.693080881589281	-0.12384287829999888	-0.9897087930977354	0.3281985631938855	0.5628146113643352
SUCLA2-AS1	-0.03056936293436298	-0.9403749091599533	0.34913536988864446	0.433960442328306	-0.08878263494999974	-0.2120973145298721	0.833095986636384	0.9227960920286301
SUCLG1	-0.15813920849420796	-2.0581608893655097	0.04199525531663334	0.07260553082997338	-0.24709737049999958	-1.8291909693625727	0.07474764957723215	0.23123514560796465
SUCLG2	-1.0294568803088786	-8.28012299931226	3.715619045153519e-13	1.5192831031809118e-11	-0.857385650499999	-5.137557637155552	7.426127363652564e-6	6.313032194875143e-4
SUCLG2-AS1	-0.42395914671814605	-7.292598114534406	5.4523791375057965e-11	1.0992178255622206e-9	-0.44480127355000026	-2.7248028732635947	0.009458477392392762	0.061879777057660075
SUCNR1	-0.056173513513514205	-0.35462322421062575	0.7235671904815446	0.7810906205421587	-0.25290973054999966	-1.1060344301953429	0.27524481539499507	0.5080957628383679
SUCO	0.9621315405405397	8.66002464426872	5.2612047271216886e-14	2.7845982099532384e-12	0.6994900214500004	4.162341371835804	1.6015888513083395e-4	0.004302460766851712
SUDS3	0.038972583011582775	0.5122259876775419	0.6095445293957547	0.6837809750424947	-0.07262864599999878	-0.6385636746839979	0.5267051342646009	0.7320479480347967
SUFU	-0.10489543629343638	-2.251277159987432	0.026403575551845384	0.04858785034931838	0.35597749160000014	2.0991255718519053	0.04208986935979939	0.1603750093157674
SUGCT	-0.025278583011582874	-0.2609473592167356	0.7946327687421308	0.8405371562580877	-0.18739745414999964	-0.6717731089521539	0.5055460319218961	0.715768211185604
