analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	sample_id	tissue	HBV_INJURY	E2F	G2M	CIBERSORTx_PC1	CIBERSORTx_PC2	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428726	tumor	-0.4988010131643989	-0.17027608537604827	-0.22757088718124813	-2.270846482203137	-1.8573378766264834	0	0.0591200028120746	0.0500028526976109	0.0398457362164145	0	0.316305232174511	0	0.0657845395663668	0.0594801291445152	0	0.0250891277951269	0.00590297994581671	0.065611658654453	0.118147211553245	0.0298016905621584	0.118908990109433	0	0	0.0372250618894835	0	0	0.0087747868787901
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428727	tumor	0.2667130777460233	0.33449829842653045	0.4090736507873198	-1.9164316633209255	-1.3364482663579829	0.0209419847865369	0	0.0294357986823921	0.171666444801942	0	0.183239865395957	0	0.0291424766610374	0.04651871480053	0	0.0179615753688102	0.0422381605725641	0.0326661920786643	0	0.137823259021245	0.212430596861465	0.0139195222549277	0	0.00940181021658444	0	0	0.0526135984973439
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428728	tumor	-0.3274082961995437	0.47804194149864104	0.42794698995352043	-0.7096175748129752	1.3118212912338088	0	0.00986990331019684	0.0404233985513655	0.111235069247234	0	0.13879839181321	0	0.0634670705833383	0.0652146984315843	0	0	0.0883566044794244	0.0108098180623076	0	0.00634831308991107	0.313637102829436	0.00221650522864279	0.0118244606900298	0	0.0624634074720334	0	0.0753352562112867
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428729	tumor	0.5359199631891302	0.11482160654726409	9.573036786306166e-4	-1.7768794752275443	1.4265347334804954	0.0212346557042177	0	0.0264125172615347	0.00443282808868512	0	0.170681833973388	0	0.0255332316504138	0.0472407279494425	0	0	0.0661777956978998	0.022141343091852	0	0.0547767124686632	0.42737532478981	0.0205451393575678	0.0302528101775673	0	0.0521938126511778	0	0.0310012671377806
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428730	tumor	-0.11084431278199015	-0.6033324947256751	-0.5461282605099723	1.0898513037020983	0.9239911353834971	0.0117918167051402	0	0.132670824850553	0.105802796335652	0	0.093359754020747	0	0.0383957424963973	0.00413693534757659	0	0	0.0554934387495054	0.0151286528013812	0	0.0730918620668812	0.335552109974264	0	0	0	0.0701436625634039	0	0.0644324040884984
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428731	tumor	0.35293311285507556	-0.2547754048747232	-0.1758806204669073	1.6983267101746229	1.2189804013636658	0	0.0251489555913841	0.16677671425941001	0.249467652870823	0	0.0964881524017155	0	0.0107054143411025	0	0.0108546422953444	0	0.0395550267950492	0.00679004589807315	0	0.128220882648196	0.189859937455713	0.0101403120278714	0.00797422273720573	0	0.037612131424272	0	0.0204059092538405
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428732	tumor	-0.5172394099779671	0.5041093145755289	0.3739230318657409	-6.448420253551618	-2.1522201096152407	0.0541502874059521	0	0.0545970411160927	0.00842165100662698	0	0.327097386023376	0	0.0614028550658192	0.0490679797433861	0	0.149351252850653	0.00424173299188209	0.0919229516303176	0.108915324085601	0.0205492417101743	0	0.0224512112306568	0.0246580298001173	0.0192190961050205	0	0	0.00395395923432375
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428733	tumor	0.31414579196350856	-0.021896955387824546	0.08333106673851898	1.9812360490920913	1.087015294168458	0.03302489594766	0.00316028298332422	0.093401317330624	0.0470682724581244	0	0.410001956618126	0	0	0	0.00309396140499267	0	0.0643933499115494	0	0.0269220095856069	0.0810548542179574	0.157554695350048	0.0105212390516	0	0	0.0450476917640013	0	0.0247554733763856
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428734	tumor	-0.6059496232893931	0.0791625427675951	0.24411139642350976	-3.2840441343819884	0.8985665852042632	0.0620750038142952	0	0.0559431332482492	0.114530650567013	0	0.0834693104605315	0	0.123264266400082	0.0254748287280747	0	0.0234486568351117	0.0751439110296553	0.0661767331589184	0.03524497883447	0	0.268629352095228	0	0.00953981410299843	0	0.0570593607253726	0	0
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428735	tumor	0.5218159745579749	-0.20568896115905644	-0.14904040341398617	5.234960778106598	-4.83731034243446	0	0.135670958271994	0.183833245832681	0.253565497083806	0	0	0.00201066695978803	0.0640078804738593	0	0	0	0.0599194788899846	0.0256940971703333	0	0.0580444861185139	0.164991356027535	0.0161510171821306	0	0.0361113159893748	0	0	0
