sample_id	tissue	dataset	score	value
GSM3428781	tumor	GSE121248	HCCStateScore	0.9986476342443439
GSM3428782	tumor	GSE121248	ProlifHubScore	0.3798583701744139
GSM3428782	tumor	GSE121248	HepLossScore	-0.7808367350458436
GSM3428782	tumor	GSE121248	HCCStateScore	1.1606951052202574
GSM3428783	tumor	GSE121248	ProlifHubScore	1.2494854467618306
GSM3428783	tumor	GSE121248	HepLossScore	-1.3385908704310214
GSM3428783	tumor	GSE121248	HCCStateScore	2.588076317192852
GSM3428784	tumor	GSE121248	ProlifHubScore	1.1065888522836105
GSM3428784	tumor	GSE121248	HepLossScore	-0.9980518765325388
GSM3428784	tumor	GSE121248	HCCStateScore	2.1046407288161495
GSM3428785	tumor	GSE121248	ProlifHubScore	-0.8803255111783359
GSM3428785	tumor	GSE121248	HepLossScore	1.0104282411103036
GSM3428785	tumor	GSE121248	HCCStateScore	-1.8907537522886395
GSM3428786	non_tumor	GSE121248	ProlifHubScore	-1.0371498935651533
GSM3428786	non_tumor	GSE121248	HepLossScore	1.4065370324480124
GSM3428786	non_tumor	GSE121248	HCCStateScore	-2.4436869260131657
GSM3428787	non_tumor	GSE121248	ProlifHubScore	-1.162016446230898
GSM3428787	non_tumor	GSE121248	HepLossScore	1.471583904031629
GSM3428787	non_tumor	GSE121248	HCCStateScore	-2.633600350262527
GSM3428788	non_tumor	GSE121248	ProlifHubScore	-0.7104175146150535
GSM3428788	non_tumor	GSE121248	HepLossScore	1.2557461595579529
GSM3428788	non_tumor	GSE121248	HCCStateScore	-1.9661636741730064
GSM3428789	non_tumor	GSE121248	ProlifHubScore	1.207171259190278
GSM3428789	non_tumor	GSE121248	HepLossScore	-0.964569349712701
GSM3428789	non_tumor	GSE121248	HCCStateScore	2.171740608902979
GSM3428790	non_tumor	GSE121248	ProlifHubScore	-0.5688014650464979
GSM3428790	non_tumor	GSE121248	HepLossScore	1.1164067727147953
GSM3428790	non_tumor	GSE121248	HCCStateScore	-1.6852082377612931
GSM3428791	non_tumor	GSE121248	ProlifHubScore	-1.1581458682853416
GSM3428791	non_tumor	GSE121248	HepLossScore	1.0965935034132968
GSM3428791	non_tumor	GSE121248	HCCStateScore	-2.2547393716986384
GSM3428792	non_tumor	GSE121248	ProlifHubScore	-1.0825772579114883
GSM3428792	non_tumor	GSE121248	HepLossScore	1.2013780089764612
GSM3428792	non_tumor	GSE121248	HCCStateScore	-2.2839552668879497
GSM3428793	non_tumor	GSE121248	ProlifHubScore	-1.14979972232967
GSM3428793	non_tumor	GSE121248	HepLossScore	1.1919262529383656
GSM3428793	non_tumor	GSE121248	HCCStateScore	-2.3417259752680355
GSM3428794	non_tumor	GSE121248	ProlifHubScore	-1.0865954634209463
GSM3428794	non_tumor	GSE121248	HepLossScore	0.9310170509433533
GSM3428794	non_tumor	GSE121248	HCCStateScore	-2.0176125143642993
GSM3428795	non_tumor	GSE121248	ProlifHubScore	-1.4718484344210387
GSM3428795	non_tumor	GSE121248	HepLossScore	1.4971251651573916
GSM3428795	non_tumor	GSE121248	HCCStateScore	-2.9689735995784305
GSM3428796	non_tumor	GSE121248	ProlifHubScore	-1.3150217521008736
GSM3428796	non_tumor	GSE121248	HepLossScore	1.2692311870815858
GSM3428796	non_tumor	GSE121248	HCCStateScore	-2.584252939182459
GSM3428797	non_tumor	GSE121248	ProlifHubScore	-0.8901628032908588
GSM3428797	non_tumor	GSE121248	HepLossScore	1.11494315575787
GSM3428797	non_tumor	GSE121248	HCCStateScore	-2.005105959048729
GSM3428798	non_tumor	GSE121248	ProlifHubScore	-1.275154981657545
GSM3428798	non_tumor	GSE121248	HepLossScore	1.2901766264627939
GSM3428798	non_tumor	GSE121248	HCCStateScore	-2.5653316081203386
GSM3428799	non_tumor	GSE121248	ProlifHubScore	-1.0124703155703854
GSM3428799	non_tumor	GSE121248	HepLossScore	1.2038781693596179
GSM3428799	non_tumor	GSE121248	HCCStateScore	-2.2163484849300032
GSM3428800	non_tumor	GSE121248	ProlifHubScore	-0.8403782063063003
GSM3428800	non_tumor	GSE121248	HepLossScore	1.188434009114947
GSM3428800	non_tumor	GSE121248	HCCStateScore	-2.0288122154212473
GSM3428801	non_tumor	GSE121248	ProlifHubScore	-1.1722238279080437
GSM3428801	non_tumor	GSE121248	HepLossScore	1.018399869913786
GSM3428801	non_tumor	GSE121248	HCCStateScore	-2.1906236978218296
GSM3428802	non_tumor	GSE121248	ProlifHubScore	-1.0436585424002227
GSM3428802	non_tumor	GSE121248	HepLossScore	1.043456956006169
GSM3428802	non_tumor	GSE121248	HCCStateScore	-2.0871154984063915
GSM3428803	non_tumor	GSE121248	ProlifHubScore	-0.5238537040511767
GSM3428803	non_tumor	GSE121248	HepLossScore	0.7645907524831445
GSM3428803	non_tumor	GSE121248	HCCStateScore	-1.2884444565343212
GSM3428804	non_tumor	GSE121248	ProlifHubScore	-0.8624717372274711
GSM3428804	non_tumor	GSE121248	HepLossScore	0.9659892124721943
GSM3428804	non_tumor	GSE121248	HCCStateScore	-1.8284609496996653
GSM3428805	non_tumor	GSE121248	ProlifHubScore	-1.2339976059094409
GSM3428805	non_tumor	GSE121248	HepLossScore	1.000502837669505
GSM3428805	non_tumor	GSE121248	HCCStateScore	-2.2345004435789457
GSM3428806	non_tumor	GSE121248	ProlifHubScore	-1.3692332506102323
GSM3428806	non_tumor	GSE121248	HepLossScore	1.1908318597881844
GSM3428806	non_tumor	GSE121248	HCCStateScore	-2.5600651103984164
GSM3428807	non_tumor	GSE121248	ProlifHubScore	-0.6093934889737374
GSM3428807	non_tumor	GSE121248	HepLossScore	1.0352004080593717
GSM3428807	non_tumor	GSE121248	HCCStateScore	-1.644593897033109
GSM3428808	non_tumor	GSE121248	ProlifHubScore	-1.2770114280578604
GSM3428808	non_tumor	GSE121248	HepLossScore	1.0320528771825506
GSM3428808	non_tumor	GSE121248	HCCStateScore	-2.309064305240411
GSM3428809	non_tumor	GSE121248	ProlifHubScore	-0.8767913074049865
GSM3428809	non_tumor	GSE121248	HepLossScore	1.100725130863632
GSM3428809	non_tumor	GSE121248	HCCStateScore	-1.9775164382686186
GSM3428810	non_tumor	GSE121248	ProlifHubScore	-1.2258599501297895
GSM3428810	non_tumor	GSE121248	HepLossScore	1.2127629542135276
GSM3428810	non_tumor	GSE121248	HCCStateScore	-2.438622904343317
GSM3428811	non_tumor	GSE121248	ProlifHubScore	-1.1978795975064351
GSM3428811	non_tumor	GSE121248	HepLossScore	1.2510138258121832
GSM3428811	non_tumor	GSE121248	HCCStateScore	-2.4488934233186184
GSM3428812	non_tumor	GSE121248	ProlifHubScore	-1.0584771745671502
GSM3428812	non_tumor	GSE121248	HepLossScore	1.348764230781981
GSM3428812	non_tumor	GSE121248	HCCStateScore	-2.407241405349131
GSM3428813	non_tumor	GSE121248	ProlifHubScore	-1.0044419649834835
