gene	logFC	AveExpr	t	p_value	FDR	B	dataset
MIR4746	-0.3950101893500001	10.033118620775	-2.1948944063587477	0.033968425022550874	0.1408799141116395	-4.073876504026096	GSE41804
MIR4755	0.7034191587499999	5.973935566575	1.9121204197030812	0.06295945480436117	0.20741436019374052	-4.59404239925478	GSE41804
MIR4784	-0.3278231580000001	8.29358101855	-1.9094963675035292	0.06330649527363282	0.20799066480702832	-4.598595363719535	GSE41804
MIR4800	-0.06826700920000006	7.27647708935	-0.4043969685104195	0.6880506933751057	0.8420803958366841	-6.248132727173205	GSE41804
MIR490	0.9046242261	2.84716765015	1.6173122459724951	0.11358191943668	0.3003030718410307	-5.07224830947404	GSE41804
MIR492	-0.4789798091499996	3.911476847125	-1.1666302925288698	0.25019004632411235	0.4817214511787044	-5.665010760107752	GSE41804
MIR497HG	-0.3722941540999997	8.80884496355	-2.188426622579777	0.03446964326620772	0.14199913078023282	-4.086409386451306	GSE41804
MIR503	-0.62534462945	3.465563862125	-1.5679390978551597	0.12468392591606403	0.3179286649223	-5.145563078414355	GSE41804
MIR5047	0.05292107100000173	13.8540979585	0.49634673118172457	0.6223356980617292	0.7992201460262476	-6.207234321555596	GSE41804
MIR5188	-0.2637035791999997	2.993249414	-0.5914501507564891	0.5575091092458284	0.7550426879233287	-6.156269108106035	GSE41804
MIR5193	-0.19751607039999816	9.94156382235	-1.3825517110855128	0.1743864854086799	0.3879555345771133	-5.402736411406096	GSE41804
MIR548F5	-0.6570770724500001	3.932892577425	-1.2670347241227067	0.21238768103794045	0.4374252315581704	-5.548141405987597	GSE41804
MIR548XHG	0.28307656579999957	5.12741840485	0.7317738586427581	0.46852414477244053	0.6870571471777605	-6.06512915080653	GSE41804
MIR600	0.24538663199999958	6.73182907845	1.0316977117512214	0.3083415949960406	0.5425877823294041	-5.807833414619622	GSE41804
MIR6080	-0.18817355249999945	7.6482205093	-1.303124902734974	0.1998995646644254	0.4226605073098151	-5.503960266327689	GSE41804
MIR612	-0.034879751499998425	14.89462336325	-0.19043148920980532	0.8499233028920592	0.9300491410633546	-6.311148414234263	GSE41804
MIR6125	-0.4454048342000008	10.0120681582	-3.720524372449521	6.042348001805923e-4	0.010464904146758299	-0.44922235850429093	GSE41804
MIR6132	-0.30590559314999954	8.752424239275	-2.5731952300847496	0.0138443348798801	0.0787729357792746	-3.292744909651421	GSE41804
MIR622	0.57627469735	4.212277484875	1.427471182811603	0.1611170737248253	0.37082390938842263	-5.343086716862279	GSE41804
MIR631	-0.35956373879999964	8.43688572845	-1.8127299943503514	0.07729780550734981	0.23649682510873285	-4.7628404821556956	GSE41804
MIR636	0.021021928500000207	13.72215995875	0.20762673293315703	0.8365619654883053	0.9246569459477324	-6.307754247625572	GSE41804
MIR637	-0.10948261325000028	7.426812412975	-0.6778202457778083	0.501743697516038	0.7126162609079638	-6.102407650429731	GSE41804
MIR646HG	0.9810938895999994	3.27073184695	2.001957320014587	0.05202448023813218	0.18294350446493524	-4.435069094825405	GSE41804
MIR6513	0.3738359307000006	11.13775084315	2.3621015125264497	0.023067796636325383	0.10964465756596577	-3.7400434774822733	GSE41804
MIR6516	0.22343264679999958	8.0266803992	1.0815065028663051	0.2858759313328819	0.519342624301652	-5.757033391556444	GSE41804
MIR663AHG	-0.9097610636500006	2.314467582675	-1.5885665617133238	0.11994315363782407	0.3105405515098709	-5.115175927725291	GSE41804
MIR664B	0.3094902210000012	11.095137872	2.1643342773986878	0.0363948059619191	0.14646578685385334	-4.132839318419878	GSE41804
MIR670HG	1.0331879586999995	2.5296198812	2.2049764263320504	0.033200007270259506	0.13856480394281562	-4.054282693769217	GSE41804
MIR6716	-0.34501208704999975	7.469329383175	-1.4843406486126887	0.1454680603777615	0.3486137179021093	-5.26510964116228	GSE41804
MIR6727	-0.4142296709000004	8.0360292851	-2.3870290454602396	0.02174532396731879	0.10530410335286858	-3.68869049045158	GSE41804
MIR6732	-0.14426608150000003	6.7660294122	-0.3219844154604984	0.7491222413276061	0.87762042845753	-6.277746858309858	GSE41804
MIR6733	0.4319203709999995	11.474016807	2.4540703970326105	0.018521485739237727	0.0953830206642136	-3.548601037352503	GSE41804
MIR6734	0.17019680409999952	8.4609566957	1.4493455721748305	0.15494826730372585	0.36207859691244476	-5.313417016450959	GSE41804
MIR6741	0.4209989905499987	9.570875736375	3.4945123749366536	0.0011658459373200029	0.01588017950815405	-1.0554892715950412	GSE41804
MIR6743	0.3789375773999994	9.408783721899999	3.0693692753249686	0.0038205530679901543	0.033866540704152334	-2.139741078575602	GSE41804
MIR6748	0.17377871485000015	9.296342824575	1.7735569239651183	0.0836634971178782	0.24787960403230788	-4.827281354419248	GSE41804
MIR675	-1.9527906052499981	11.731853069875	-2.747833772387001	0.00891773015511447	0.05948708496295771	-2.9023398033445247	GSE41804
MIR6751	-0.23007474484999837	8.593211583575	-1.8353550144122537	0.07381122559946326	0.2295048013815215	-4.725079976216974	GSE41804
MIR6756	-0.17690513510000083	10.230878162	-0.7548533540124304	0.45470858135445624	0.6748959996044955	-6.048334579473871	GSE41804
MIR6758	0.3223465604999998	11.69531519825	2.469749985262389	0.017833006535132034	0.09291530327155141	-3.515426296193228	GSE41804
MIR6773	-0.9775308995999995	10.3971398351	-4.163687948912528	1.5949999146646333e-4	0.0042993845283395005	0.7883136235171637	GSE41804
MIR6778	-1.1068857142499984	12.361059269375	-3.4533281704337173	0.0013117694367072463	0.0170390326542395	-1.163884588458374	GSE41804
MIR6785	-0.17576239154999984	6.481294093525	-1.1505817363182391	0.2566591910562045	0.48747990771375327	-5.682858964533639	GSE41804
MIR6787	0.16386857774999983	8.688695207025	0.8936755315640568	0.3767806829903453	0.6093722009838187	-5.936683748266034	GSE41804
MIR6789	-0.2050712674499997	7.986619744925	-1.509693688044886	0.1388921723861382	0.3391313756780407	-5.229469395834255	GSE41804
MIR6791	-0.08446738334999898	8.484755841775	-0.5877442299025919	0.5599702237893844	0.7568596883791536	-6.158419249751238	GSE41804
MIR6800	-0.03705822035000096	7.252585849625	-0.12829717071518648	0.8985494011748074	0.9543111353786963	-6.320972185654484	GSE41804
MIR6805	0.010057188999998577	12.650475182	0.08092117288188941	0.9359036046930678	0.9717495162269223	-6.325890860289778	GSE41804
MIR6824	0.20862076334999932	6.484410399275	0.5247117477801154	0.6026469035840689	0.7862167502497451	-6.192952853751191	GSE41804
MIR6831	0.04599270925000002	6.300774901975	0.12477043461101475	0.901323153632875	0.9550877562694828	-6.3214150284503114	GSE41804
MIR6834	0.3986950687000003	9.18439000155	2.265474166406058	0.02890505572229354	0.1265134159209359	-3.935250553050915	GSE41804
MIR6836	0.5644663210999997	8.60040706855	2.7170406855151095	0.009647457217822841	0.06262642102635042	-2.9724548275916383	GSE41804
MIR6837	-0.33246534539999933	6.82441639905	-1.358341354906985	0.18188142178359099	0.39767479827705843	-5.434168665869464	GSE41804
MIR6840	-0.1544803266500005	11.777729303825	-0.7636866199407166	0.44948455287504385	0.6706658535352787	-6.041772711929514	GSE41804
MIR6845	0.05933040445000107	11.031370001425	0.23934544845758057	0.812046056413519	0.911975768731552	-6.3007258213125885	GSE41804
MIR6849	-0.2395217807999995	7.66883485485	-1.6175723986975836	0.11352563251634457	0.30028247618288467	-5.071856730402326	GSE41804
MIR6859-1	0.021647967350000703	10.436659434525	0.13223654497884824	0.8954526329849648	0.9530964373200507	-6.320462947862811	GSE41804
MIR6866	0.4802446659500008	9.714648436275	3.519660167772035	0.0010845323427205575	0.015152107932691257	-0.9889740412689552	GSE41804
MIR6872	-0.5077932390499996	5.974213884325	-1.8997617122494588	0.06460829845988478	0.21033963493725488	-4.615440536960629	GSE41804
MIR6875	-0.6759224917999996	4.96304235525	-1.7185118862497242	0.0933475861288618	0.2649517276958678	-4.915801660067111	GSE41804
MIR6878	0.26324547160000056	7.42240147025	1.2969877351265215	0.2019830323068104	0.4248851079943957	-5.511553715502513	GSE41804
MIR6883	-0.8049667141999997	8.51819540205	-3.4381766013845625	0.001369729981376369	0.017526903696988325	-1.203593041598384	GSE41804
MIR6884	0.24308131165000005	6.772417980475	1.2917332514191593	0.20377985638682322	0.42697199152211185	-5.518028890138998	GSE41804
MIR6890	0.3516902389999996	11.7661565355	3.458083813111776	0.0012940663924737546	0.01689665440305017	-1.1514022734960134	GSE41804
MIR7-3HG	0.7091398476499995	4.150471538575	1.735942002609953	0.09018478790054212	0.25925084178868135	-4.888029968650488	GSE41804
MIR7109	-0.3080062834000003	8.1732198718	-2.1840208365875906	0.03481480992522814	0.14296616740547252	-4.0949301125449304	GSE41804
MIR7110	-0.1976874964000006	11.2071087588	-1.1088847180753216	0.27402780579238634	0.5069677546693129	-5.728149652513456	GSE41804
MIR7111	0.6434575166000002	8.04315420455	3.0099314264622805	0.004484249495657792	0.03745951988766231	-2.2847257097769216	GSE41804
MIR7112	0.4459558727500002	7.595309067975	2.3982522213617226	0.021172560069670488	0.10368453381259392	-3.6654386779766956	GSE41804
MIR7113	-0.05977929599999983	10.7707159	-0.45229534749636147	0.6534719690657556	0.8202582808406351	-6.227859154031502	GSE41804
MIR7114	-0.25726979994999927	6.952133371225	-0.8707196736989614	0.38904424238040725	0.6194465967282242	-5.956397551639199	GSE41804
MIR7515HG	-0.3994539812500003	3.470940950575	-0.8291378802430894	0.41189134638453917	0.640585719446835	-5.990848509040141	GSE41804
MIR7703	-0.13425369099999906	13.787821693	-1.067876310211648	0.2919065791010801	0.5253520326974689	-5.771159507035613	GSE41804
MIR8071-2	-1.418718805449999	11.433822512175	-1.52879784435801	0.1340957051919249	0.3325809325423596	-5.202258885576173	GSE41804
MIR8072	-0.18061648265000005	4.839663977725	-0.57555061465792	0.56810641274217	0.7612429959578924	-6.165400121721392	GSE41804
MIR8085	-0.46909943414999944	8.886185423925	-2.0127323860380297	0.05083059167238995	0.18031928582020526	-4.4156015107939846	GSE41804
MIR9-3HG	0.8246101055499995	3.3102752615749997	1.614173191157201	0.11426288765738	0.30131659537046757	-5.0769688378661195	GSE41804
MIR924HG	0.2824535743500003	4.205875857275	0.539940225048506	0.5921978700332388	0.778749865000184	-6.184962703842419	GSE41804
MIR943	0.057137091949998595	9.040616886975	0.41692181006630213	0.6789394068331447	0.83681618884024	-6.243048347033396	GSE41804
MIR99AHG	-0.8680391185499995	9.897509316075	-1.8256276264613236	0.07529355985176925	0.23218894350092661	-4.741363080317878	GSE41804
MIRLET7BHG	-0.3913431799999999	5.3995660497	-0.9879348572699329	0.3290560248872262	0.5637517294929378	-5.850593568726756	GSE41804
MIRLET7D	-0.2471641095500002	9.086041019125	-1.4616708843424646	0.15155523980088556	0.356755884794791	-5.296520901679887	GSE41804
MIRLET7DHG	-0.3227870747000002	8.0233096571	-1.5946595916058037	0.11857115514063163	0.3085999446965973	-5.10613324774896	GSE41804
MIS12	-0.08826219430000025	8.71145546775	-0.49383283433705166	0.6240945427585176	0.8001372422128858	-6.208462251501019	GSE41804
MIS18A	0.4943622631000005	9.34405857695	2.471881788611013	0.0177412181364668	0.09256702275234382	-3.51090394635098	GSE41804
MIS18BP1	0.22202430539999984	9.9088464884	1.5104056592699981	0.13871099100543757	0.3388791764758854	-5.228460775707552	GSE41804
MISP	0.29449115175	4.361723875975	0.6793815019801266	0.5007645633594282	0.7120624622014409	-6.101368049173511	GSE41804
MITD1	0.46486546799999995	9.0719490826	3.1438305464590255	0.003119360074455727	0.02974346986530595	-1.955693480988426	GSE41804
MITF	-0.23309861140000027	7.9816137111	-1.2155116122784275	0.23121606861256547	0.4594699061020917	-5.609230489704441	GSE41804
MIXL1	0.2381198771499999	4.123854574275	0.5780114532022218	0.5664597016408337	0.7603009742576081	-6.164002872887836	GSE41804
MKI67	1.4127143823500001	8.034853761875	4.366517748775377	8.533362139871543e-5	0.002918651362085309	1.372522084249086	GSE41804
MKKS	0.06700212504999992	10.715634632175	0.40785450916750493	0.6855307107656459	0.8403217373653271	-6.246744523955583	GSE41804
MKL1	-0.016478931299999666	8.04556865405	-0.1341084631887637	0.8939816817042269	0.952483785921521	-6.320215574778208	GSE41804
MKL2	-0.15060033939999962	9.57487424135	-1.0746624474786453	0.28889306717298646	0.5221245339160829	-5.7641475737763	GSE41804
MKLN1	0.07211040800000026	10.664155958	0.7839629732896742	0.4376274712680006	0.6615441149997928	-6.026430146790188	GSE41804
MKNK1	-0.2692111914499998	8.553491156425	-1.713227378441498	0.09432453911810808	0.26671541653921815	-4.92417398867968	GSE41804
MKNK1-AS1	-0.5965149485999995	4.36976461715	-1.2920177576137528	0.2036822585548568	0.42689085367991136	-5.517678907065491	GSE41804
MKNK2	-0.07618965899999876	12.3196994875	-0.6605364527531208	0.5126530426102557	0.7214939612998172	-6.113760304177122	GSE41804
MKRN1	0.2824577769999986	12.8705264485	1.8698085362376753	0.06875851293760422	0.21919566468005627	-4.666822875142998	GSE41804
MKRN2	0.45147490185	9.291171662325	3.0466812690022995	0.00406215870667623	0.035129897465864555	-2.1952883336387172	GSE41804
MKRN3	1.3293367272500003	4.967166807825	2.3413592884945458	0.024222979731907183	0.11318061890525281	-3.782466287922958	GSE41804
MKRN7P	0.18542392244999958	3.296583415125	0.3962707753980302	0.6939874841082896	0.8460634277760256	-6.251349245741561	GSE41804
MKS1	-0.02210413149999999	8.03107784785	-0.1256336656049931	0.9006441117798358	0.9549902237583382	-6.321307774754274	GSE41804
MKX	-1.00829852145	3.894886661525	-1.7072353279924348	0.09544256676527654	0.2686545231424768	-4.933640446770359	GSE41804
MLANA	0.16075754984999988	6.116238516225	0.444458728944286	0.6590793595470464	0.8240563512780281	-6.231329712027531	GSE41804
MLC1	-0.4454414891500002	4.409637264275	-1.1121310518703464	0.27264634547256594	0.5052714221387568	-5.724679807492971	GSE41804
MLEC	0.6477020959999993	12.1989214155	3.9048213687432787	3.4948085294861825e-4	0.007247146800944989	0.05824096698691683	GSE41804
MLF1	-0.8474807346500001	6.241480833425	-2.2338551615136897	0.0310836959094106	0.13278940241897266	-3.9977729378196	GSE41804
