gene	beta_injury_index	AveExpr	t	p_value	FDR	B	logFC	P.Value	adj.P.Val
TPRG1L	0.005757754807487533	8.888869921875	0.2331030949414585	0.8160458724674253	0.8692740739329075	-6.562670823044304	0.005757754807487533	0.8160458724674253	0.8692740739329075
PEX1	-0.006050985182128871	6.1832575	-0.2328490648751419	0.8162427158644419	0.8694407488969098	-6.562729329336072	-0.006050985182128871	0.8162427158644419	0.8694407488969098
LOC284926	0.00787487063692032	4.24876859375	0.2327980097613856	0.8162822789832018	0.8694407488969098	-6.562741080272844	0.00787487063692032	0.8162822789832018	0.8694407488969098
NOTCH4	0.007140563028573854	6.2113890625	0.23268627410280474	0.816368865716027	0.869449777428057	-6.5627667885696885	0.007140563028573854	0.816368865716027	0.869449777428057
AGTR2	-0.00621594742104391	3.416470859375	-0.23268391498439306	0.8163706938798356	0.869449777428057	-6.562767331226018	-0.00621594742104391	0.8163706938798356	0.869449777428057
PLLP	-0.01236871436215078	6.58236640625	-0.23194874357192763	0.8169404532465447	0.87000763387137	-6.562936171288091	-0.01236871436215078	0.8169404532465447	0.87000763387137
PARP2	0.004052008054875717	7.5311527343749995	0.23190483783197832	0.8169744833857617	0.87000763387137	-6.562946237822587	0.004052008054875717	0.8169744833857617	0.87000763387137
NDUFB2	0.0053591913671466465	10.569075	0.23157729841746721	0.8172283612441824	0.8702353897662375	-6.563021274678915	0.0053591913671466465	0.8172283612441824	0.8702353897662375
ADPRM	0.0067459391861277454	6.391057890625	0.23136584902540872	0.8173922673012572	0.8703272159995881	-6.5630696598839515	0.0067459391861277454	0.8173922673012572	0.8703272159995881
KDR	-0.010877085145055572	7.5311746875	-0.2313628226257059	0.8173946132888146	0.8703272159995881	-6.563070352083572	-0.010877085145055572	0.8173946132888146	0.8703272159995881
HSD3B1	0.011417104307095064	2.879767578125	0.23116029421574058	0.8175516118855408	0.8704502213892925	-6.56311665391934	0.011417104307095064	0.8175516118855408	0.8704502213892925
ENTPD3-AS1	-0.00716144339972748	3.519075	-0.23111055829891014	0.8175901679504448	0.8704502213892925	-6.5631280182967835	-0.00716144339972748	0.8175901679504448	0.8704502213892925
RELL2	0.0047862428701583295	5.7245765625	0.2310145458375574	0.8176645995829903	0.8704868611916404	-6.563149949693414	0.0047862428701583295	0.8176645995829903	0.8704868611916404
LRRTM2	-0.007600975925463169	2.89682140625	-0.23081838390609358	0.8178166751453376	0.8706061531974421	-6.563194729166376	-0.007600975925463169	0.8178166751453376	0.8706061531974421
MSI1	0.00658687913231601	3.065762109375	0.2307365473544862	0.8178801214101981	0.8706184951172764	-6.563213399422954	0.00658687913231601	0.8178801214101981	0.8706184951172764
OSTC	-0.004783911988587599	10.484425	-0.23070018277195126	0.8179083145412891	0.8706184951172764	-6.563221693545153	-0.004783911988587599	0.8179083145412891	0.8706184951172764
MALSU1	-0.004469316733233238	9.87940578125	-0.23058991991883313	0.8179938017876526	0.8706668870326764	-6.563246834579365	-0.004469316733233238	0.8179938017876526	0.8706668870326764
HIKESHI	0.005637719528579215	8.3135640625	0.23025687414251733	0.8182520268455727	0.8708931624982384	-6.563322699432763	0.005637719528579215	0.8182520268455727	0.8708931624982384
ITIH2	-0.004444854304760975	12.68743828125	-0.2302124668784089	0.8182864592608603	0.8708931624982384	-6.56333280673269	-0.004444854304760975	0.8182864592608603	0.8708931624982384
CASC23	0.007211964942747554	3.631318359375	0.23006542369806846	0.8184004758372037	0.8709718958359438	-6.563366260541174	0.007211964942747554	0.8184004758372037	0.8709718958359438
F8A3	-0.005314250161230836	8.6541228125	-0.22967301493360565	0.8187047667220237	0.8712531084831555	-6.56345543295031	-0.005314250161230836	0.8187047667220237	0.8712531084831555
SH2D4B	-0.007021809526703758	3.152963828125	-0.22952166598040732	0.8188221366911463	0.8713353849644118	-6.563489785397263	-0.007021809526703758	0.8188221366911463	0.8713353849644118
TXNDC11	-0.005455891380883143	7.01686765625	-0.22938390513256834	0.818928972757618	0.8714064444747085	-6.5635210340119015	-0.005455891380883143	0.818928972757618	0.8714064444747085
EIF3H	0.0044187237108964965	10.009659296875	0.22896272129235604	0.8192556296409079	0.8717113926618407	-6.563616455855697	0.0044187237108964965	0.8192556296409079	0.8717113926618407
CTD-2194D22.4	-0.006852544443063995	2.6405903125	-0.22875534473160128	0.8194164760126545	0.8718038923273015	-6.5636633739402725	-0.006852544443063995	0.8194164760126545	0.8718038923273015
LOC692247	-0.006165742650152592	5.144606953125	-0.22872903174444428	0.8194368855636436	0.8718038923273015	-6.563669324107243	-0.006165742650152592	0.8194368855636436	0.8718038923273015
LOC100287525	0.006539754667592381	6.37939875	0.22869562786507594	0.8194627953117424	0.8718038923273015	-6.56367687675549	0.006539754667592381	0.8194627953117424	0.8718038923273015
COLEC12	0.007913086101730447	2.987588828125	0.22841244045542355	0.8196824578791696	0.8719949386857188	-6.563740861413264	0.007913086101730447	0.8196824578791696	0.8719949386857188
SVIP	-0.008698081519775195	6.50339890625	-0.22823169830995033	0.8198226632751259	0.8721014423308628	-6.563781657706327	-0.008698081519775195	0.8198226632751259	0.8721014423308628
LOC101928978	-0.005201207043086313	2.873109765625	-0.22784194820195192	0.8201250202622397	0.8723804188637898	-6.563869520507351	-0.005201207043086313	0.8201250202622397	0.8723804188637898
PDCD11	0.004440075818798411	6.555424140625	0.22773209997778432	0.8202102422603166	0.8724284093632912	-6.563894256891914	0.004440075818798411	0.8202102422603166	0.8724284093632912
D21S2090E	0.005298522116604567	3.080330390625	0.22754032552681652	0.8203590290735249	0.8724737572442028	-6.563937413423585	0.005298522116604567	0.8203590290735249	0.8724737572442028
C5ORF49	-0.0075568387521797445	3.079179140625	-0.22748991141947145	0.8203981435778734	0.8724737572442028	-6.563948752481249	-0.0075568387521797445	0.8203981435778734	0.8724737572442028
SS18L2	-0.005039458333981916	8.462915	-0.22748916560471377	0.8203987222322843	0.8724737572442028	-6.563948920209827	-0.005039458333981916	0.8203987222322843	0.8724737572442028
TMEM181	0.007173091167819249	7.49110640625	0.22747036545753083	0.820413308712829	0.8724737572442028	-6.56395314805133	0.007173091167819249	0.820413308712829	0.8724737572442028
SLN	0.029859713960329843	4.088932890625	0.22727534934833063	0.820564619674167	0.8725920107436524	-6.563996983347725	0.029859713960329843	0.820564619674167	0.8725920107436524
TRIB3	0.012521803024586418	7.76212421875	0.22687448996279547	0.82087566349034	0.8728801049961072	-6.56408696967438	0.012521803024586418	0.82087566349034	0.8728801049961072
SLC27A2	-0.007451655768764603	10.183914609375	-0.22678850560051383	0.8209423861207463	0.872908384264571	-6.564106251071831	-0.007451655768764603	0.8209423861207463	0.872908384264571
JAZF1-AS1	-0.00657813317620651	2.10147421875	-0.22664685437291684	0.8210523082969502	0.8729825926185814	-6.564137999452419	-0.00657813317620651	0.8210523082969502	0.8729825926185814
RPS6KA6	0.006404826808875233	3.098748203125	0.22639149002864375	0.8212504814918656	0.8731506218911317	-6.564195184353542	0.006404826808875233	0.8212504814918656	0.8731506218911317
SOCS6	-0.010023801471593617	6.823178203125	-0.2259973992803302	0.8215563347033976	0.8734331141587903	-6.564283308479326	-0.010023801471593617	0.8215563347033976	0.8734331141587903
LAT	0.008351213417958683	5.811760078125	0.22591762911840937	0.8216182475415753	0.8734562476186046	-6.564301127518061	0.008351213417958683	0.8216182475415753	0.8734562476186046
SLC25A17	0.006370074018478341	6.65369828125	0.2257720976988535	0.8217312032378606	0.873533639448428	-6.564333620095708	0.006370074018478341	0.8217312032378606	0.873533639448428
