analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	model	term	estimate	std.error	statistic	p.value	conf.low	conf.high
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC2	0.041218753544121765	0.016537126522995407	2.492497925005639	0.01431119197133254	0.008413542960656335	0.07402396412758719
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	(Intercept)	-0.7806371538060091	0.23300144899628558	-3.35035321526457	0.0011590218465507534	-1.24320351424412	-0.3180707933678981
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	tissuetumor	0.18814634652249823	0.07546187589260868	2.4932635757723953	0.0143872336853973	0.038335581680289554	0.3379571113647069
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	E2F	-1.3199771502876647	0.295133702087289	-4.472471767718575	2.1416818998230765e-5	-1.9058916285247478	-0.7340626720505816
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	G2M	1.9020664319930671	0.3086958856832625	6.161618992047996	1.7290233543460365e-8	1.289227615162352	2.514905248823782
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	T.cells.CD4.memory.resting	-0.05215486335334512	0.4009176736652761	-0.13008871092295352	0.8967712990635469	-0.848077077320424	0.7437673506137339
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	Macrophages.M2	1.6291538835210324	0.3299886065321505	4.937000403261818	3.385256992249459e-6	0.9740436712576999	2.2842640957843647
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	Plasma.cells	2.685326499626182	0.48011900305396027	5.593043563252547	2.1399420945005152e-7	1.7321697670112486	3.6384832322411156
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	Macrophages.M0	2.2301977514849685	0.41558473241124533	5.366409248350485	5.660035291314972e-7	1.40515774442398	3.0552377585459567
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	T.cells.CD8	-0.8176799390152597	0.5365556833088032	-1.5239423688010054	0.13084522988375333	-1.882877647740639	0.24751776971011974
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	Macrophages.M1	1.6647324159841974	0.5911458965256483	2.816110922478456	0.005911469155085939	0.4911594316884973	2.8383054002798973
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_selected_fraction_adjusted	T.cells.follicular.helper	-1.7994121195677304	0.6872821642629887	-2.6181562873777486	0.010288864699720247	-3.1638397258622586	-0.434984513273202
