gene	raw_value	sample_id	library_size	value_type
CXCL14	26	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
CYP1A2	1477	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ECM1	222	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ECT2	622	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FAHD2A	1689	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FCN2	12	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
FCN3	155	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
GJC1	150	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
HHIP	0	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
IRAK1	15628	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ITGA6	6153	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
LINC01093	24	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
NUSAP1	6	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PLAC8	77	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PLVAP	6575	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PRC1	9	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
PTTG1	1302	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
RACGAP1	903	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
STAB2	7	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
TOP2A	1764	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
TTC13	677	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
UBE2Q1	3665	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
VIPR1	46	TCGA-EP-A3RK-01A-11R-A22L-07	49090829	counts
ADAMTS13	363	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ADGRG7	398	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ANGPTL6	158	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ANLN	270	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ASPM	802	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
BUB1B	237	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CAP2	1166	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CDHR2	13	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CDKN3	263	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CENPF	563	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CENPW	181	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CFP	23	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CLEC1B	0	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CLEC4M	1	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
COL15A1	1970	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CRHBP	28	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CXCL14	2	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
CYP1A2	245	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ECM1	124	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ECT2	383	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
FAHD2A	2169	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
FCN2	76	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
FCN3	130	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
GJC1	142	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
HHIP	1	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
IRAK1	9679	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
ITGA6	1514	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
LINC01093	222	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
NUSAP1	17	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
PLAC8	14	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
PLVAP	8650	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
PRC1	11	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
PTTG1	739	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
RACGAP1	476	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
STAB2	23	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
TOP2A	1110	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
TTC13	757	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
UBE2Q1	5413	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
VIPR1	39	TCGA-2Y-A9H9-01A-21R-A39D-07	60403068	counts
