gene,meta_logFC_FE,meta_FDR_FE,I2,tau2_REML,Q_p,logFC_121248,FDR_121248,logFC_41804,FDR_41804
TXN,0.5815015717378196,9.355369221359758e-10,0,0,0.3635202973749654,0.6506972972972976,1.6929548791226015e-6,0.4852266394999999,0.0159051097988554
WHSC1,0.5973726260232978,9.657923497697131e-11,0,0,0.7940442315326324,0.5867908069498059,1.733405847643744e-7,0.6465498303500002,0.03130516012004442
BLM,0.7863354759502443,7.0223798456700295e-12,0,0,0.4483198316626975,0.761022640926639,1.4634828445891742e-8,1.0550790559999994,0.04995359487599225
UGP2,-0.6709842144618889,6.491401954028263e-10,0,0,0.45557473933160064,-0.6192408494208488,1.283012562423857e-5,-0.7845089409999995,0.00342383304214364
FAM118B,0.4417622170190744,6.873943027916035e-11,0,0,0.6581223511811632,0.429943092664092,1.1664771916587589e-7,0.5098971445000002,0.03455272106523455
HDAC1,0.4933645907435677,9.787357402085149e-11,40.931027427397574,0.00795981139948713,0.19321436959410812,0.42476781467181457,3.1762206221504925e-5,0.6219828689999995,6.822924750357827e-4
KLHL23,0.5153235522628945,7.104112450204201e-10,49.401240452266336,0.03904994850762439,0.15977724753732128,0.48135036293436223,5.225628497001317e-7,0.8789594520499999,0.02473154512457773
LOC100653149,0.9669827143720424,1.7237004431289075e-11,0.6130053960136087,8.47562409304793e-4,0.31582265395968023,0.928670652509651,2.4765789159592264e-8,1.4545289033999989,0.04720083360930129
ZNF358,-0.38879819946418726,9.855407514647624e-9,84.74643233499141,0.1217379310362088,0.01045402803683535,-0.33291847876447817,1.6778921541228256e-5,-0.8689215077999994,0.00280304259876022
PDGFC,-0.612049891016657,7.948243671411896e-11,73.81697010502702,0.05348945662855188,0.05066637796504895,-0.4984109884169883,4.085699989636959e-5,-0.8791005627999999,3.9104403201807e-4
FGL2,-0.9234175923442476,1.0077286084005408e-10,0,0,0.39054971205142,-1.0004425328185318,1.2815705545132876e-7,-0.7484464776499986,0.03435980374737981
HMGCLL1,-0.2333314163858926,9.233212707110023e-8,89.6581742221179,0.696601773035677,0.00187355098372677,-0.22008620849420835,3.676763648315941e-6,-1.466643777949999,0.0112933618465177
TMEM69,0.4476368579090282,6.131270564401158e-10,0,0,0.8495619094603166,0.44013669498069385,1.4236377671876052e-6,0.4700960820999995,0.01754179410881614
KIAA0922,-0.6655838858339685,1.6410638490332214e-10,27.3594692665156,0.00799256668512366,0.24067397897469583,-0.7513820849420833,1.52982676617128e-7,-0.5096666976999991,0.0332135624909155
LOC101927653,-0.5288286105031919,2.8938941746539755e-10,72.11046454995322,0.2799265416702224,0.05828326974758543,-0.5023915096525093,9.743565450833317e-8,-1.3835172540999996,0.03700059140253234
CCDC107,0.3625004850871717,6.009500486386893e-11,0,0,0.9888284369822864,0.3628625405405396,1.096555071350571e-7,0.36100957690000063,0.03544468682271891
ERRFI1,-0.7284009731794365,7.899477203188661e-10,0,0,0.8082772805177333,-0.7124734169884165,1.9737666857972547e-6,-0.774809376,0.01584641422015953
LOC101929612,-0.4015174147804203,6.886302663464177e-10,0,0,0.326304006472349,-0.37733079150579146,8.761994578334337e-7,-0.5524576224999989,0.02115892055985251
DNALI1,-0.9740802343761492,1.4158434110790495e-9,7.42416862341632,0.0069001195290706,0.2986538168852191,-0.9051321544401528,2.2281204565607837e-6,-1.336273220399998,0.01530460266850943
PBX1,-0.9075192505034672,1.072256504359155e-9,0,0,0.46893427572272567,-0.8570976177606171,2.189402355038626e-6,-1.1133625431999987,0.01540374473407744
RMDN2,-0.7147319565976833,3.4521135786863504e-10,0,0,0.8246143368274774,-0.7292063127413115,6.004759225483197e-7,-0.6753450154000014,0.02473154512457773
TMEM104,0.3875835034000043,1.2002952278765089e-10,0,0,0.9177504028634048,0.38468033590733486,2.0239480039315635e-7,0.3995111814500002,0.03197845396781979
RNF135,-0.9089970128047296,1.0655359112570027e-9,0,0,0.8446135829348681,-0.9301513397683384,5.084870660915429e-6,-0.8729581597999998,0.00941762430457426
ATOH8,-0.2140660036251722,5.742665720120423e-7,93.7456671107982,0.8996014175689319,6.371443844338879e-5,-0.19517792664092612,2.4358338591024575e-5,-1.5805437242499991,0.00186027405789508
CD14,-0.9989581980739932,1.0838014922727943e-9,0,0,0.81704883448677,-0.9768379806949788,3.1595668719390597e-6,-1.0570013684000004,0.01355095423465624
LOC105378470,-0.21049994639346847,7.942869674487668e-8,89.72018461974004,1.480763147170096,0.00181501491825833,-0.203180776061776,1.9056695479979551e-6,-2.0200041860499995,0.01640538652038002
TACC2,0.5817285273593416,1.6801914951961736e-10,57.5375631367994,0.02119552172851383,0.12488007251182852,0.687146490347489,9.711768358859949e-8,0.4157143188000004,0.03776752887243886
GSPT2,-1.45856830558033,1.1464922763466389e-10,0,0,0.7686159741036227,-1.494000409266408,1.8226732646150857e-7,-1.3464811811500017,0.0332135624909155
CLUH,-0.4217224505711303,7.288740137427131e-10,26.10309543076894,0.00756071886503762,0.2447130763719406,-0.39524042471042353,6.702645831561414e-7,-0.6359262627500003,0.02437895408958126
A2M,-0.7926531183550192,5.270975306734395e-10,0,0,0.7513878676638982,-0.8176656756756742,9.59996749889419e-7,-0.7341757029999978,0.02135944552431631
CD58,0.6431815926584481,7.623544491653033e-10,25.515020402069613,0.00692561827073237,0.24658432039680325,0.7383932702702702,7.102393918131642e-7,0.5053984249499991,0.0239515117257125
HSPE1-MOB4,0.5326095026963967,5.256588050357915e-10,6.474785210132804,9.701659723810072e-4,0.3011193517310443,0.5977683359073356,5.275701568882089e-7,0.42465706934999975,0.02642308816659266
RBP5,-1.1556631616200934,3.2999433267426243e-10,0,0,0.8725373851108297,-1.1720058108108091,5.43371672795767e-7,-1.1079673334499989,0.02626073720653258
FBXO43,0.5518018980503716,9.047368037730778e-9,81.73125703724432,0.5815056944043083,0.01930327398074606,0.5128970926640914,1.4191046488115823e-6,1.7057802166499991,0.01867400534567814
MPDU1,-0.4674357401600679,1.3661356902690934e-10,0,0,0.6856830136963562,-0.4838418262548263,2.0556850005299953e-7,-0.4199964015500005,0.03268893404326944
SLC1A4,0.7253129114919971,3.676112552708093e-11,0,0,0.8868897198378333,0.7325338957528948,6.388498900858238e-8,0.6950869131499994,0.04265517907905789
INS-IGF2,-2.6770049565469254,4.1375577415788534e-10,0,0,0.9794339210633216,-2.683005382239379,7.215342916615425e-7,-2.658811759299998,0.02397598127461318
NEDD1,0.46243519035291303,1.1741974471451363e-10,0,0,0.5975688791828677,0.4478134594594588,1.6609254341841605e-7,0.5504467407000007,0.03453764137091615
WASF1,0.6824475655637183,1.1948302842372134e-9,0,0,0.9861445291062868,0.6836898571428557,3.4468408166273342e-6,0.6797163190499994,0.01355329421631612
FBXW11,0.3890290274357943,2.0086843974439367e-10,0,0,0.8036365986431807,0.39727862934362906,3.061548440546903e-7,0.3639117950000003,0.03063975927555259
SLC25A18,-1.2534814282697373,8.416230965812531e-10,0,0,0.4196309202056388,-1.3752952818532802,1.2045711973601983e-6,-1.0540622301499991,0.0200541756171409
GJB2,-1.068610066096865,1.198886524683226e-9,0,0,0.6387436272118411,-1.0166049575289555,8.9351436659073e-6,-1.1855333176999998,0.00642598668975281
PEX13,-0.42118120787347024,1.152779490086304e-9,61.52737978237133,0.01845847545007956,0.10691422568657669,-0.36100732046332035,2.7257431522316615e-5,-0.6059580299499994,0.00186447330246087
NUDT3,0.47922952647892886,5.180179895646517e-10,0,0,0.7250763752740021,0.46622449420849305,8.435722358558782e-7,0.5298432661499991,0.02329342515423968
CDCA8,0.5973178022799537,2.6311930492071593e-8,84.40338383542337,0.8032627674184919,0.01133741948973646,0.547991779922779,3.779136228328351e-6,1.9276257752999992,0.0130867329808199
MAT1A,-1.0977624258809373,8.442717220905734e-10,0,0,0.3951225204928872,-0.9984364208494204,2.156389031346424e-5,-1.3060439317500006,0.00279408041571897
GTF3C2,0.3585105688080585,5.440236599940691e-11,0,0,0.5040367316424541,0.3787911853281843,7.088360224067414e-8,0.29949141020000064,0.0439072798188746
MRPL42,0.5171802476224017,1.2177319465491231e-9,0,0,0.4832586478068487,0.5617924169884159,2.044946268366321e-6,0.445925939950002,0.01744483894605472
ZSWIM6,-0.627569981254412,1.9132154188115086e-9,0,0,0.42139515238914327,-0.5828818030888019,7.324758708523173e-6,-0.7685564183500002,0.00860393712541951
CDH1,-0.8441204532292821,4.671544298764608e-12,23.240835859556956,0.01109165111845553,0.2537067696873774,-1.0784965907335895,6.021530841361107e-5,-0.7695472829999995,1.7559250646272557e-4
DNMT3A,0.59136090799727,3.122698969933497e-11,0,0,0.9577746473629374,0.5893841621621615,5.1604028856311583e-8,0.6014586462999997,0.04706963447083591
ZNF792,0.6980714367667705,1.617421672559826e-10,22.64295294502505,0.02117106485881651,0.25554967478468377,0.6633527027027013,1.3348208626854361e-7,1.0957866869999986,0.03786468365254551
ACADSB,-1.092712903118643,1.5039148447463e-9,0,0,0.5531911810455851,-1.0273446795366783,1.0356029637861224e-5,-1.249695862599999,0.00635511393739156
LOC101060817,-0.5574464224120426,1.010855164699983e-9,0,0,0.5842024129388129,-0.5921393204633197,1.659154001900678e-6,-0.4931870529999991,0.01922619329653998
KHK,-0.9132331701712044,2.1833021689479072e-10,73.86805174611483,0.12836397322726567,0.05044114733711082,-0.744667891891891,5.0997989642080185e-5,-1.3342010692999997,5.177529328942626e-4
